mass;ccore;fcore;fmass;envelope;wind;fate;termination;comments
2;0.67;1,206;1.51;0;0.8;CO WD;Max model Nr = 50,000;
2.1;0.71;1,205;1.51;0;0.8;OneMg WD;Max model Nr = 80,000;
2.2;0.76;1.38;1.54;0;0.8;ECSN;logQ_limit;
2.3;0.81;1,395;1.52;0;0.8;ECSN;Max model Nr = 80,000;
2.4;0.86;1.22;1.56;0;0.8;?;min_timestep_limit;Abundance of helium left in envelope: 4%
2.5;0.91;1,384;1.42;0;0.8;ECSN;log_center_density_limit ;E-captures on Mg 
2.6;0.96;1,397;1.42;0;0.8;ECSN;log_center_density_limit ;E-captures on Mg 
2.7;1.01;1.38;1.41;0;0.8;ECSN;log_center_density_limit ;E-captures on Mg 
2.8;1.07;1,381;1.41;0;0.8;ECSN;log_center_density_limit ;E-captures on Mg 
2.9;1.13;1,383;2.62;1.24;0.8;ECSN;logQ_limit;
3;1.18;1,425;2.71;1.28;0.8;ECSN;min_timestep_limit;
3.1;1.24;1.47;2.79;1.32;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;Iron didnâ€™t form!
3.2;1.29;1.51;2.87;1.37;0.8;Fe-CCSN;Max model Nr = 80,000;
3.3;1.35;1.56;2.96;1.4;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;Iron formed around a small silicon core!
3.4;1.41;1.61;3,04;1,44;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
3.5;1.47;1,604;3.1;1.46;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
4;1.79;1.9;3.51;1.61;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
4.5;2.11;2.17;3,89;1,72;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
5;2.47;2.47;4.26;1.79;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;When He depleted in the core, the final mass was ~ 4.32
5.5;2.82;2.82;4,61;1,79;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
6;2.99;3.17;4.94;1.77;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
6.5;3.25;3.44;5,27;1,83;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
7;3.51;3.69;5.6;1.91;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
7.5;3.79;3.99;5,93;1,94;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
8;4.04;4.27;6.24;1.97;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
8.5;4.3;4.55;6,54;2;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
9;4.57;4.83;6.85;2.02;0.8;Fe-CCSN;fe_core_infall >= 1d8 ;
3.5;1.46;1.63;3.03;1.4;1;Fe-CCSN;logQ_limit;NL canonical value for wind mass loss rate
4;1.78;1.89;3.4;1.51;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
4.5;2.11;2.16;3.76;1.6;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
5;2.33;2.47;4.09;1.62;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
5.5;2.57;2.74;4.41;1.67;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
6;2.79;3;4.73;1.73;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
6.5;3.05;3.27;5.04;1.77;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
7;3.28;3.54;5.34;1.8;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
7.5;3.53;3.8;5.63;1.83;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
8;3.76;4.06;5.91;1.85;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
8.5;4;4.3;6.18;1.88;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
9;4.23;4.56;6.45;1.89;1;Fe-CCSN;fe_core_infall >= 1d8 ;NL canonical value for wind mass loss rate
3.5;1.45;1.61;2.79;1.18;1.58;Fe-CCSN;logQ_limit;NL enhanced
4;1.56;1.84;3.1;1.26;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
4.5;1.78;2.06;3.41;1.35;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
5;1.98;2.3;3.69;1.39;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
5.5;2.18;2.52;3.96;1.44;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
6;2.38;2.74;4.21;1.47;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
6.5;2.57;2.95;4.45;1.51;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
7;2.77;3.13;4.68;1.55;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
7.5;2.95;3.33;4.90;1.57;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
8;3.12;3.52;5.11;1.59;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
8.5;3.29;3.71;5.31;1.6;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
9;3.46;3.89;5.5;1.61;1.58;Fe-CCSN;fe_core_infall >= 1d8 ;NL enhanced
